Date,Vietnam_White_5%
2018-04-15,435.0
2018-05-15,456.0
2018-06-15,448.0
2018-07-15,399.0
2018-08-15,396.0
2018-09-15,396.0
2018-10-15,409.0
2018-11-15,413.0
2018-12-15,396.0
2019-01-15,359.0
2019-02-15,344.0
2019-03-15,350.0
2019-04-15,362.0
2019-05-15,371.0
2019-06-15,335.0
2019-07-15,335.0
2019-08-15,344.0
2019-09-15,325.0
2019-10-15,350.0
2019-11-15,348.0
2019-12-15,348.0
2020-01-15,351.0
2020-02-15,358.0
2020-03-15,410.0
2020-04-15,470.0
2020-05-15,470.0
2020-06-15,469.0
2020-07-15,434.0
2020-08-15,486.0
2020-09-15,470.0
2020-10-15,480.0
2020-11-15,505.0
2020-12-15,498.0
2021-01-15,520.0
2021-02-15,520.0
2021-03-15,511.0
2021-04-15,489.0
2021-05-15,494.0
2021-06-15,482.0
2021-07-15,397.0
2021-08-15,392.0
2021-09-15,416.0
2021-10-15,436.0
2021-11-15,430.0
2021-12-15,408.0
2022-01-15,398.0
2022-02-15,400.0
2022-03-15,415.0
2022-04-15,416.0
2022-05-15,419.0
2022-06-15,423.0
2022-07-15,407.0
2022-08-15,396.0
2022-09-15,410.0
2022-10-15,429.0
2022-11-15,438.0
2022-12-15,456.0
2023-01-15,460.0
2023-02-15,460.0
2023-03-15,456.0
2023-04-15,481.0
2023-05-15,494.0
2023-06-15,504.0
2023-07-15,528.0
2023-08-15,633.0
2023-09-15,624.0
2023-10-15,634.0
2023-11-15,660.0
2023-12-15,663.0
2024-01-15,651.0
2024-02-15,621.0
